Product ID,Product Name,Category
598,Decorations_Product,Decorations
557,Decorations_Product,Decorations
736,Electronics_Product,Electronics
671,Decorations_Product,Decorations
934,Toys_Product,Toys
227,Electronics_Product,Electronics
382,Decorations_Product,Decorations
549,Clothing_Product,Clothing
331,Clothing_Product,Clothing
276,Decorations_Product,Decorations
563,Decorations_Product,Decorations
807,Electronics_Product,Electronics
103,Decorations_Product,Decorations
677,Clothing_Product,Clothing
129,Electronics_Product,Electronics
376,Decorations_Product,Decorations
601,Toys_Product,Toys
441,Decorations_Product,Decorations
198,Toys_Product,Toys
674,Clothing_Product,Clothing
515,Toys_Product,Toys
432,Clothing_Product,Clothing
445,Toys_Product,Toys
633,Decorations_Product,Decorations
569,Electronics_Product,Electronics
726,Clothing_Product,Clothing
14,Clothing_Product,Clothing
417,Toys_Product,Toys
329,Clothing_Product,Clothing
410,Food_Product,Food
958,Clothing_Product,Clothing
24,Electronics_Product,Electronics
190,Electronics_Product,Electronics
121,Clothing_Product,Clothing
256,Electronics_Product,Electronics
97,Toys_Product,Toys
840,Decorations_Product,Decorations
191,Electronics_Product,Electronics
606,Electronics_Product,Electronics
272,Toys_Product,Toys
642,Clothing_Product,Clothing
179,Food_Product,Food
447,Toys_Product,Toys
454,Decorations_Product,Decorations
355,Clothing_Product,Clothing
247,Decorations_Product,Decorations
685,Food_Product,Food
268,Toys_Product,Toys
399,Food_Product,Food
423,Electronics_Product,Electronics
814,Toys_Product,Toys
251,Toys_Product,Toys
577,Electronics_Product,Electronics
844,Toys_Product,Toys
119,Clothing_Product,Clothing
693,Decorations_Product,Decorations
126,Toys_Product,Toys
764,Electronics_Product,Electronics
135,Electronics_Product,Electronics
981,Decorations_Product,Decorations
539,Decorations_Product,Decorations
706,Food_Product,Food
18,Food_Product,Food
625,Decorations_Product,Decorations
205,Electronics_Product,Electronics
920,Food_Product,Food
524,Toys_Product,Toys
848,Toys_Product,Toys
553,Clothing_Product,Clothing
513,Food_Product,Food
681,Clothing_Product,Clothing
677,Toys_Product,Toys
310,Toys_Product,Toys
79,Clothing_Product,Clothing
776,Food_Product,Food
297,Food_Product,Food
365,Electronics_Product,Electronics
477,Clothing_Product,Clothing
44,Electronics_Product,Electronics
163,Electronics_Product,Electronics
252,Clothing_Product,Clothing
569,Electronics_Product,Electronics
